Raion;Obekt;Sdacha;Etajnosty;Tip;Lest;Obekt;Etaj;S_obshch;S_zhil;S_kukh;S_Komnaty;Otdelka;S\u;Balk;TCena;za_m2;Baz_tcena;Prodavetc;Obnovleno,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;1A;7;60.41;21.97;23.95;21.97;P/Kl;S;-;8619601;142685;9577334;Evrostroi;04.06.2019,,,
Vasileostrovskii;NEXT;I kv. 2020;11;MN;1;1A;8;60.41;21.97;23.95;21.97;P/Kl;S;-;8687486;143809;9652762;Evrostroi;04.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;3;29.52;12.66;12.66;12.66;CHist;2;-;5121838;173504;5121838;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;3;29.52;12.66;12.66;12.66;CHist;2;-;5121838;173504;5121838;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;3;29.52;12.66;12.66;12.66;CHist;2;-;5121838;173504;5121838;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;3;29.52;12.66;12.66;12.66;CHist;2;-;5121838;173504;5121838;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;4;29.52;12.66;12.66;12.66;CHist;2;-;5121838;173504;5121838;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;4;29.52;12.66;12.66;12.66;CHist;2;-;5121838;173504;5121838;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;4;29.52;12.66;12.66;12.66;CHist;2;-;5121838;173504;5121838;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;4;29.52;12.66;12.66;12.66;CHist;2;-;5121838;173504;5121838;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;4;29.52;12.66;12.66;12.66;CHist;2;-;5121838;173504;5121838;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;5;29.52;12.66;12.66;12.66;CHist;2;-;5121838;173504;5121838;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;5;29.52;12.66;12.66;12.66;CHist;2;-;5121838;173504;5121838;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;5;29.52;12.66;12.66;12.66;CHist;2;-;5121838;173504;5121838;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;5;29.52;12.66;12.66;12.66;CHist;2;-;5121838;173504;5121838;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;5;29.52;12.66;12.66;12.66;CHist;2;-;5121838;173504;5121838;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;5;29.52;12.66;12.66;12.66;CHist;2;-;5121838;173504;5121838;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;6;29.52;12.66;12.66;12.66;CHist;2;-;5121838;173504;5121838;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;6;29.52;12.66;12.66;12.66;CHist;2;-;5121838;173504;5121838;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;6;29.52;12.66;12.66;12.66;CHist;2;-;5121838;173504;5121838;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;6;29.52;12.66;12.66;12.66;CHist;2;-;5121838;173504;5121838;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;6;29.52;12.66;12.66;12.66;CHist;2;-;5121838;173504;5121838;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;6;29.52;12.66;12.66;12.66;CHist;2;-;5121838;173504;5121838;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;7;29.52;12.66;12.66;12.66;CHist;2;-;5121838;173504;5121838;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;7;29.52;12.66;12.66;12.66;CHist;2;-;5121838;173504;5121838;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;7;29.52;12.66;12.66;12.66;CHist;2;-;5121838;173504;5121838;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;7;29.52;12.66;12.66;12.66;CHist;2;-;5121838;173504;5121838;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;7;29.52;12.66;12.66;12.66;CHist;2;-;5121838;173504;5121838;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;10;29.58;11.84;13.26;11.84;CHist;2;-;5132248;173504;5132248;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;4;29.58;12.55;12.55;12.55;CHist;2;-;5132248;173504;5132248;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;4;29.58;11.84;13.26;11.84;CHist;2;-;5132248;173504;5132248;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;4;29.58;12.55;12.55;12.55;CHist;2;-;5132248;173504;5132248;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;5;29.58;12.55;12.55;12.55;CHist;2;-;5132248;173504;5132248;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;5;29.58;13.26;11.84;13.26;CHist;2;-;5132248;173504;5132248;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;5;29.58;12.55;12.55;12.55;CHist;2;-;5132248;173504;5132248;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;6;29.58;12.55;12.55;12.55;CHist;2;-;5132248;173504;5132248;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;6;29.58;12.55;12.55;12.55;CHist;2;-;5132248;173504;5132248;InterRost;17.06.2019,,,
Vyborgskii;Vertical;I kv. 2020;14;MN;1;1A;7;29.58;13.26;11.84;13.26;CHist;2;-;5132248;173504;5132248;InterRost;17.06.2019,,,
